topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 01:44:24,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:44:34,286 | Consume TPS: 434 | AVG(B2C) RT(ms):  23.515 | AVG(S2C) RT(ms):  16.496 | MAX(B2C) RT(ms): 247 | MAX(S2C) RT(ms): 150 | Consume Fail: 0
Current Time: 2026-08-29 01:44:44,286 | Consume TPS: 1462 | AVG(B2C) RT(ms):   8.622 | AVG(S2C) RT(ms):   6.058 | MAX(B2C) RT(ms): 102 | MAX(S2C) RT(ms): 100 | Consume Fail: 0
Current Time: 2026-08-29 01:44:54,287 | Consume TPS: 3270 | AVG(B2C) RT(ms):   3.691 | AVG(S2C) RT(ms):   2.516 | MAX(B2C) RT(ms): 60 | MAX(S2C) RT(ms): 60 | Consume Fail: 0
Current Time: 2026-08-29 01:45:04,287 | Consume TPS: 3243 | AVG(B2C) RT(ms):   3.881 | AVG(S2C) RT(ms):   2.680 | MAX(B2C) RT(ms): 71 | MAX(S2C) RT(ms): 68 | Consume Fail: 0
Current Time: 2026-08-29 01:45:14,286 | Consume TPS: 1519 | AVG(B2C) RT(ms):   3.538 | AVG(S2C) RT(ms):   2.480 | MAX(B2C) RT(ms): 49 | MAX(S2C) RT(ms): 48 | Consume Fail: 0
Current Time: 2026-08-29 01:45:24,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:45:34,286 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:45:44,287 | Consume TPS: 1813 | AVG(B2C) RT(ms):   5.262 | AVG(S2C) RT(ms):   3.409 | MAX(B2C) RT(ms): 43 | MAX(S2C) RT(ms): 40 | Consume Fail: 0
Current Time: 2026-08-29 01:45:54,286 | Consume TPS: 3680 | AVG(B2C) RT(ms):   3.195 | AVG(S2C) RT(ms):   2.149 | MAX(B2C) RT(ms): 32 | MAX(S2C) RT(ms): 29 | Consume Fail: 0
Current Time: 2026-08-29 01:46:04,286 | Consume TPS: 3735 | AVG(B2C) RT(ms):   3.305 | AVG(S2C) RT(ms):   2.271 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 27 | Consume Fail: 0
Current Time: 2026-08-29 01:46:14,286 | Consume TPS: 3216 | AVG(B2C) RT(ms):   3.856 | AVG(S2C) RT(ms):   2.617 | MAX(B2C) RT(ms): 167 | MAX(S2C) RT(ms): 166 | Consume Fail: 0
Current Time: 2026-08-29 01:46:24,286 | Consume TPS: 1445 | AVG(B2C) RT(ms):   9.341 | AVG(S2C) RT(ms):   6.186 | MAX(B2C) RT(ms): 259 | MAX(S2C) RT(ms): 257 | Consume Fail: 0
Current Time: 2026-08-29 01:46:34,286 | Consume TPS: 3780 | AVG(B2C) RT(ms):   3.200 | AVG(S2C) RT(ms):   2.176 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 24 | Consume Fail: 0
Current Time: 2026-08-29 01:46:44,286 | Consume TPS: 3851 | AVG(B2C) RT(ms):   3.169 | AVG(S2C) RT(ms):   2.153 | MAX(B2C) RT(ms): 25 | MAX(S2C) RT(ms): 24 | Consume Fail: 0
Current Time: 2026-08-29 01:46:54,286 | Consume TPS: 3812 | AVG(B2C) RT(ms):   3.380 | AVG(S2C) RT(ms):   2.358 | MAX(B2C) RT(ms): 50 | MAX(S2C) RT(ms): 47 | Consume Fail: 0
Current Time: 2026-08-29 01:47:04,287 | Consume TPS: 3689 | AVG(B2C) RT(ms):   3.513 | AVG(S2C) RT(ms):   2.442 | MAX(B2C) RT(ms): 398 | MAX(S2C) RT(ms): 397 | Consume Fail: 0
Current Time: 2026-08-29 01:47:14,287 | Consume TPS: 3828 | AVG(B2C) RT(ms):   3.226 | AVG(S2C) RT(ms):   2.202 | MAX(B2C) RT(ms): 25 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 01:47:24,286 | Consume TPS: 3945 | AVG(B2C) RT(ms):   3.152 | AVG(S2C) RT(ms):   2.163 | MAX(B2C) RT(ms): 115 | MAX(S2C) RT(ms): 114 | Consume Fail: 0
Current Time: 2026-08-29 01:47:34,286 | Consume TPS: 3935 | AVG(B2C) RT(ms):   3.170 | AVG(S2C) RT(ms):   2.179 | MAX(B2C) RT(ms): 145 | MAX(S2C) RT(ms): 142 | Consume Fail: 0
Current Time: 2026-08-29 01:47:44,287 | Consume TPS: 3843 | AVG(B2C) RT(ms):   3.401 | AVG(S2C) RT(ms):   2.376 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 33 | Consume Fail: 0
